,SPY/TYVIX inst_corr,SPY/TYVIX hist_corr
351,-1.2491381405126458,
352,-1.2491381405126458,
353,-1.2491381405126458,
354,-1.2491381405126458,
355,-1.2491381405126458,
356,-1.2491381405126458,
357,-1.2491381405126458,
358,-1.2491381405126458,
359,-1.2491381405126458,
360,-1.2491381405126458,
361,-1.2491381405126458,
362,-1.2491381405126458,
363,-1.2491381405126458,
364,-1.2491381405126458,
365,-1.2491381405126458,
366,-1.2491381405126458,
367,-1.2491381405126458,
368,-1.2491381405126458,
369,-1.2491381405126458,
370,-1.2491381405126458,
371,-0.7769674990207166,
372,-0.7769674990207166,-0.0007382042011348238
373,-0.7769674990207166,0.008970276198832894
374,-0.7769674990207166,0.04999436941839504
375,-0.7769674990207166,0.04508802376788615
376,-0.7769674990207166,0.05566018935696491
377,-0.7769674990207166,-0.184128343212373
378,-0.7769674990207166,-0.16287831129365474
379,-0.7769674990207166,-0.32475301028928705
380,-0.7769674990207166,-0.2861143781876089
381,-0.7769674990207166,-0.27397765429791826
382,-0.7769674990207166,-0.2657264290106095
383,-0.7769674990207166,-0.2565915928293303
384,-0.7769674990207166,-0.30453893789557507
385,-0.7769674990207166,-0.3056532974547066
386,-0.7769674990207166,-0.30710799494364255
387,-0.7769674990207166,-0.37174241032207306
388,-0.7769674990207166,-0.3721005521155703
389,-0.7769674990207166,-0.3991044331397118
390,-0.7769674990207166,-0.39356599574978623
391,-0.7769674990207166,-0.40358556611418755
392,-0.7769674990207166,-0.420965311320312
393,-0.7769674990207166,-0.5484597307928017
394,-0.7769674990207166,-0.5775861277484946
395,-0.7769674990207166,-0.559870536630143
396,-0.7769674990207166,-0.5076877137453731
397,-0.7769674990207166,-0.4521946740382827
398,-0.7769674990207166,-0.4572997125370906
399,-0.7769674990207166,-0.37215192371874395
400,-0.7769674990207166,-0.4258831723743478
401,-0.7769674990207166,-0.3030964610675574
402,-0.7769674990207166,-0.3177924197578812
403,-0.7769674990207166,-0.31677075169476054
404,-0.7769674990207166,-0.31276887786663854
405,-0.7769674990207166,-0.33089343139690214
406,-0.7769674990207166,-0.32882226383638424
407,-0.7769674990207166,-0.3387149835210758
408,-0.855894101149804,-0.4189302149414327
409,-0.855894101149804,-0.4092464835303153
410,-0.855894101149804,-0.4582509940090065
411,-0.855894101149804,-0.40461157117389934
412,-0.855894101149804,-0.4105766765728845
413,-0.855894101149804,-0.4427435998422794
414,-0.855894101149804,-0.43313441961495586
415,-0.855894101149804,-0.4106403592195218
416,-0.855894101149804,-0.48286403968374864
417,-0.855894101149804,-0.5104202931517956
418,-0.855894101149804,-0.5880991977415498
419,-0.855894101149804,-0.6611007795016705
420,-0.855894101149804,-0.6600757993278861
421,-0.855894101149804,-0.6043856180090617
422,-0.855894101149804,-0.6050021394681115
423,-0.855894101149804,-0.6122949291689616
424,-0.855894101149804,-0.6142148580259564
425,-0.8826701382314189,-0.6322994480557902
426,-0.8826701382314189,-0.6320119835667375
427,-0.8826701382314189,-0.6389738418883442
428,-0.8826701382314189,-0.6352263453250994
429,-0.8826701382314189,-0.6969754993790669
430,-0.8826701382314189,-0.6662247680901482
431,-0.8826701382314189,-0.6686921859465096
432,-0.8826701382314189,-0.6398672575888061
433,-0.8826701382314189,-0.6141114926144078
434,-0.8826701382314189,-0.5787263130919073
435,-0.8826701382314189,-0.6163238573230002
436,-0.8826701382314189,-0.629954301978042
437,-0.8826701382314189,-0.5778611989427743
438,-0.8826701382314189,-0.5490291910259587
439,-0.8826701382314189,-0.5543664838291814
440,-0.8826701382314189,-0.5558099896825327
441,-0.8826701382314189,-0.5385553130757932
442,-0.8826701382314189,-0.5490008266589388
443,-0.8826701382314189,-0.5331010543482197
444,-0.8826701382314189,-0.516728753990396
445,-0.8826701382314189,-0.526278938971865
446,-0.8826701382314189,-0.5377861366217606
447,-0.8826701382314189,-0.2263115288239708
448,-0.8826701382314189,-0.23721719549231585
449,-0.8826701382314189,-0.23183611381925517
450,-0.8826701382314189,-0.23085916734127349
451,-0.8826701382314189,0.10148763074593667
452,-0.8826701382314189,0.12262048720474127
453,-0.8826701382314189,0.1059172513230806
454,-0.8826701382314189,0.09926299630849944
455,-0.8826701382314189,0.11648039081913537
456,-0.8826701382314189,0.07932775490290261
457,-0.8826701382314189,0.08672908110318926
458,-0.8826701382314189,0.22026182333121122
459,-0.8826701382314189,0.11344577515469184
460,-0.8826701382314189,0.15184414379070757
461,-0.8826701382314189,0.2398504383022088
462,-0.8826701382314189,0.23890112819247777
463,-0.9704073812397602,-0.16972931800453475
464,-0.9704073812397602,-0.20609201595260482
465,-0.9704073812397602,-0.2568946642242817
466,-0.9704073812397602,-0.30159463748619325
467,-0.9704073812397602,-0.26700835705780424
468,-0.9704073812397602,-0.29936397387773445
469,-0.9704073812397602,-0.3446257575534217
470,-0.9704073812397602,-0.33062586524558535
471,-0.9704073812397602,-0.3189980855608625
472,-0.9704073812397602,-0.33168516672936027
473,-0.9704073812397602,-0.3307406027620583
474,-0.9704073812397602,-0.32508830911082337
475,-0.9704073812397602,-0.31304072751094475
476,-0.9704073812397602,-0.32992312379133143
477,-0.9704073812397602,-0.32985556964321694
478,-0.9704073812397602,-0.3185444323000702
479,-0.9704073812397602,-0.31385506123365364
480,-0.9704073812397602,-0.46150278201646805
481,-0.9704073812397602,-0.4106048809528617
482,-0.9704073812397602,-0.44511679354674427
483,-0.9704073812397602,-0.4366127510668375
484,-0.9704073812397602,-0.3524818444349712
485,-0.9704073812397602,-0.19111272259142156
486,-0.7749037738106332,0.056315930510081
487,-0.7749037738106332,0.0030300024522074147
488,-0.7749037738106332,-0.0014582877988124341
489,-0.7749037738106332,0.03921083430859356
490,-0.7749037738106332,0.09455664102021506
491,-0.7749037738106332,0.08379753045748417
492,-0.7749037738106332,-0.004488707439418069
493,-0.7749037738106332,0.006071670131323625
494,-0.7749037738106332,0.022452483537825304
495,-0.7749037738106332,0.0832444146129
496,-0.7749037738106332,0.045858347070008985
497,-0.9152144360901193,-0.1060132827900193
498,-0.9152144360901193,-0.011064671977337672
499,-0.9152144360901193,-0.061182998517166735
500,-0.9152144360901193,-0.09796721393662146
501,-0.9152144360901193,-0.0975219914877787
502,-0.9152144360901193,-0.10439568259114626
503,-0.9152144360901193,-0.1319691262357297
504,-0.9152144360901193,-0.11119270210956358
505,-0.9152144360901193,-0.07836333716824792
506,-0.9152144360901193,-0.10479494516410177
507,-0.9802164081690957,0.012073602565738044
508,-0.9802164081690957,-0.2236412815428588
509,-0.9802164081690957,-0.16033215691310457
510,-0.9802164081690957,-0.20242689170655748
511,-0.9802164081690957,-0.2619060815941507
512,-0.9802164081690957,-0.2639092184003169
513,-0.9802164081690957,-0.2270767696860917
514,-0.9802164081690957,-0.17415949653110913
515,-0.9802164081690957,-0.19229530994063143
516,-0.9802164081690957,-0.19690430230219744
517,-0.9802164081690957,-0.24285168637831403
518,-0.9802164081690957,-0.28805776929516985
519,-0.9156523384491776,-0.0958673647728763
520,-0.9156523384491776,-0.19435049250831996
521,-0.9156523384491776,-0.14944129496843211
522,-0.9156523384491776,-0.15806334150549936
523,-0.5678239386025844,-0.11521167734718286
524,-0.27713970668427873,0.1162322061819291
525,-0.4693332466381965,0.10767806696573702
526,-0.4693332466381965,0.03186269353332822
527,-0.4693332466381965,0.047534010504293005
528,-0.4693332466381965,0.034008742412231494
529,-0.6691129613682157,0.029342147562844628
530,-0.43632510121585794,-0.36413013347451095
531,-0.43632510121585794,-0.3516659477173146
532,-0.43632510121585794,-0.3244310568483146
533,-0.5173304579381102,-0.5304803640246941
534,-0.8354521201383308,-0.5866369968524404
535,-0.8354521201383308,-0.6227716584491656
536,-0.8354521201383308,-0.6203613333266291
537,-0.8354521201383308,-0.6242791769295187
538,-0.6397598596141167,-0.6374144590440004
539,-0.6397598596141167,-0.6318733991348827
540,-0.6397598596141167,-0.6461440343890317
541,-0.6397598596141167,-0.685618818830792
542,-0.6397598596141167,-0.6808129141673827
543,-0.6397598596141167,-0.6496635786458345
544,-0.6397598596141167,-0.6530860501664034
545,-0.6397598596141167,-0.6518569069559537
546,-0.6397598596141167,-0.7513943407746067
547,-0.6397598596141167,-0.7406193009919969
548,-0.6397598596141167,-0.7271546687532351
549,-0.6397598596141167,-0.725602964969867
550,-0.6397598596141167,-0.7276646159991805
551,-0.6397598596141167,-0.7605902354674656
552,-0.9677905466580474,-0.6701630471699235
553,-0.7626838612072115,-0.732966862306178
554,-0.7626838612072115,-0.7276434031983264
555,-0.7626838612072115,-0.41191756835369076
556,-0.7626838612072115,-0.41233838687507035
557,-0.7626838612072115,-0.3405048164524149
558,-0.7626838612072115,-0.34946899717848506
559,-0.9463856006641107,-0.44636676510706896
560,-0.9463856006641107,-0.35087033533447964
561,-0.5353106316550353,-0.24472912470132357
562,-0.5029182177763779,-0.2973029429463446
563,-0.9063185301575958,-0.3419833719382392
564,-0.7208404354700948,-0.38800707248665783
565,-0.7208404354700948,-0.48433893268049377
566,-0.7208404354700948,-0.4927486967487074
567,-0.7208404354700948,-0.45332514267637075
568,-0.7962134396058178,-0.49505437273530783
569,-0.7007668364351497,-0.5384683899427959
570,-0.7007668364351497,-0.5624259167186995
571,-0.7007668364351497,-0.5742082570904412
572,-0.7007668364351497,-0.543374153590323
573,-0.7007668364351497,-0.5454052069537418
574,-0.7007668364351497,-0.5231392791787752
575,-0.7007668364351497,-0.4915141903532153
576,-0.7007668364351497,-0.4807153780205445
577,-0.7007668364351497,-0.48311976720058825
578,-0.7007668364351497,-0.4411524613301997
579,-0.8562847563028593,-0.4627881330851057
580,-0.8562847563028593,-0.43477105414620953
581,-0.8562847563028593,-0.4028609693576109
582,-0.8562847563028593,-0.41236822754870756
583,-0.8562847563028593,-0.5360106252122088
584,-0.9444280632843839,-0.5241988529054901
585,-0.8312533408998871,-0.42976707528209823
586,-0.9546515903130313,-0.3920859275354228
587,-0.9546515903130313,-0.34763486349019895
588,-0.9546515903130313,-0.36154443494644184
589,-0.9546515903130313,-0.38275575121146826
590,-0.9546515903130313,-0.26008702003510376
591,-0.9546515903130313,-0.17199718940363115
592,-0.9546515903130313,-0.19909634215933023
593,-0.9546515903130313,-0.1768568584951641
594,-0.9546515903130313,-0.23512123615939176
595,-0.9546515903130313,-0.2259818418460026
596,-0.9546515903130313,-0.283848496927706
597,-0.9546515903130313,-0.30724141172374136
598,-0.9546515903130313,-0.31562752197043087
599,-0.9546515903130313,-0.4175837987864687
600,-0.9546515903130313,-0.42282321662831884
601,-0.9546515903130313,-0.3671469718762315
602,-0.9090071462623515,-0.3378534510571127
603,-0.4572999923549789,-0.2392556167037672
604,-0.4572999923549789,-0.19709025938775152
605,-0.4572999923549789,-0.1871511418644219
606,-0.4572999923549789,-0.10040540898214026
607,-0.9777602739747113,-0.1338833364424358
608,-0.4322298577804856,-0.3855981739914819
609,-0.5793018161691639,-0.4295059306645734
610,-0.5793018161691639,-0.36779007905454014
611,-0.8966185288547281,-0.4192232565770834
612,-0.8966185288547281,-0.4820158818436793
613,-0.8966185288547281,-0.4931106774973262
614,-0.8966185288547281,-0.4560036628640798
615,-0.8966185288547281,-0.46152831489789
616,-0.8966185288547281,-0.45673056401375767
617,-0.8966185288547281,-0.47091330399255615
618,-0.8966185288547281,-0.43972223073682337
619,-0.8966185288547281,-0.3884381897847945
620,-0.8966185288547281,-0.3920905445947749
621,-0.8966185288547281,-0.3229549316799423
622,-0.8966185288547281,-0.35392727965224385
623,-0.8966185288547281,-0.3740022808292153
624,-0.8966185288547281,-0.4043009736557714
625,-0.8966185288547281,-0.5031032050250254
626,-0.8966185288547281,-0.5344301515497408
627,-0.9258406355604899,-0.5550648369314876
628,-0.9258406355604899,-0.5779513591808386
629,-0.9258406355604899,-0.5853424258765646
630,-0.9258406355604899,-0.48903401536530244
631,-0.9258406355604899,-0.4568424328287074
632,-0.9258406355604899,-0.5207494401451129
633,-0.9258406355604899,-0.42502300042732377
634,-0.9258406355604899,-0.4054385201020998
635,-0.9258406355604899,-0.4401913782586505
636,-0.9258406355604899,-0.4681800229354423
637,-0.9258406355604899,-0.4583863324669426
638,-0.9258406355604899,-0.48769141107412606
639,-0.9258406355604899,-0.5207210850343159
640,-0.9258406355604899,-0.5200460255742352
641,-0.9258406355604899,-0.5839503320137297
642,-0.9258406355604899,-0.5880044352426191
643,-0.9258406355604899,-0.6647797023771285
644,-0.9258406355604899,-0.6597915897165928
645,-0.9258406355604899,-0.6497447190640461
646,-0.9258406355604899,-0.5727716595792999
647,-0.9258406355604899,-0.5511478029692498
648,-0.9258406355604899,-0.5709929190911041
649,-0.9258406355604899,-0.46144484476660086
650,-0.9258406355604899,-0.3412342692249737
651,-0.9258406355604899,-0.328019180760698
652,-0.9258406355604899,-0.3429510072741551
653,-0.9258406355604899,-0.3787323806916664
654,-0.9258406355604899,-0.3808864661177158
655,-0.9258406355604899,-0.3729433803208514
656,-0.9258406355604899,-0.3887121475713948
657,-0.9258406355604899,-0.34695684138010685
658,-0.9258406355604899,-0.4040282546837887
659,-0.9258406355604899,-0.4005231018208262
660,-0.9258406355604899,-0.5007865799585204
661,-0.9258406355604899,-0.48404891561420127
662,-0.9258406355604899,-0.538004721524741
663,-0.9258406355604899,-0.5454043426575289
664,-0.9258406355604899,-0.54667500019368
665,-0.9258406355604899,-0.5438509426420757
666,-0.9258406355604899,-0.5399202784058518
667,-0.9258406355604899,-0.5274454680017394
668,-0.9258406355604899,-0.5940879729201033
669,-0.9258406355604899,-0.5664193762413962
670,-0.9258406355604899,-0.630241047116922
671,-0.9258406355604899,-0.5613018392501894
672,-0.9258406355604899,-0.6906101103789922
673,-0.9258406355604899,-0.6647404747118828
674,-0.9258406355604899,-0.6875593154440457
675,-0.9258406355604899,-0.6615392252071459
676,-0.9258406355604899,-0.6824991597084135
677,-0.9258406355604899,-0.6351216900544518
678,-0.9258406355604899,-0.6283804686533135
679,-0.9258406355604899,-0.5887832847124687
680,-0.9258406355604899,-0.5865823082286217
681,-0.9258406355604899,-0.603177194967641
682,-0.9258406355604899,-0.5081921443394676
683,-0.9258406355604899,-0.4721606800250259
684,-0.9258406355604899,-0.3773541170698167
685,-0.9258406355604899,-0.36381322620191986
686,-0.9258406355604899,-0.2548399614734848
687,-0.9258406355604899,-0.24458242245821732
688,-0.9258406355604899,-0.2562613595481569
689,-0.9258406355604899,-0.2289036134329688
690,-0.9258406355604899,-0.28897652365815674
691,-0.9258406355604899,-0.3206855414798094
692,-0.9258406355604899,-0.12414247035165907
693,-0.9258406355604899,-0.21955199752560944
694,-0.9258406355604899,-0.22633670897132657
695,-0.9258406355604899,-0.12911455470477534
696,-0.9258406355604899,-0.05798240948839911
697,-0.7880168760617037,-0.04605314695289193
698,-0.808671611341003,-0.16650136568949653
699,-0.808671611341003,-0.20240449963138893
700,-0.808671611341003,-0.21048719570839441
701,-0.6367547024935114,-0.20724346059426377
702,-0.3641345936666411,-0.3682006517554186
703,-0.4151660094438112,-0.14140949221746207
704,-0.8304970317041503,-0.22030303997734738
705,-0.8304970317041503,-0.19220085089222935
706,-0.9577332401149542,-0.2730600884765643
707,-0.9577332401149542,-0.2675002941654279
708,-0.9577332401149542,-0.30419916964348914
709,-0.9577332401149542,-0.3254129160866684
710,-0.9577332401149542,-0.32035293378949997
711,-0.9279755350493344,-0.32024003814741153
712,-0.5383903594783188,-0.4707840211946895
713,-0.6448553391176702,-0.5456978092880151
714,-0.9780294600611606,-0.597839417179107
715,-0.9780294600611606,-0.5875797769839384
716,-0.9780294600611606,-0.5827028479153686
717,-0.9780294600611606,-0.6199199391849388
718,-0.9780294600611606,-0.6231394787567427
719,-0.9780294600611606,-0.6924520959286203
720,-0.9780294600611606,-0.702658580020797
721,-0.7555813426240878,-0.6609107256838423
722,-0.43513368162381305,-0.7064093627624335
723,-0.8478461072903652,-0.7176804763634115
724,-0.8478461072903652,-0.6542982953220202
725,-0.8640557721634968,-0.7735150175946678
726,-0.8640557721634968,-0.7566357004877177
727,-0.8640557721634968,-0.7648569055405777
728,-0.8640557721634968,-0.7639309432770272
729,-0.8640557721634968,-0.751807676969332
730,-0.7007717809019306,-0.7529412765024144
731,-0.8179237634643437,-0.6964126693308785
732,-0.8946751946513903,-0.6961422042506246
733,-0.5216470639746237,-0.6501683316421452
734,-0.6695195461555034,-0.5436853699464155
735,-0.6695195461555034,-0.4899360615264393
736,-0.6695195461555034,-0.3891838304568317
737,-0.6695195461555034,-0.3925092881005767
738,-0.6695195461555034,-0.39752316477754
739,-0.9988092124789978,-0.3891583556731141
740,-0.5651318238887335,-0.4700340998970518
741,-0.6694483931099696,-0.451128698250093
742,-0.982995866216529,-0.45939367766328093
743,-0.982995866216529,-0.5029166548630852
744,-0.982995866216529,-0.3808613619190639
745,-0.982995866216529,-0.39560616756602957
746,-0.9685461737088077,-0.44074323921887215
747,-0.4520817099132207,-0.3389062634582747
748,-0.4139057397640091,-0.432325991777061
749,-0.7597884189453267,-0.42437495740510783
750,-0.7809636698581526,-0.31823589869742464
751,-0.5532433135993308,-0.3867402171916959
752,-0.6269192627089143,-0.4315114786877614
753,-0.6258075864243074,-0.4361777395946691
754,-0.4908973967924338,-0.5604915063475575
755,-0.905896153276479,-0.5739859677712319
756,-0.905896153276479,-0.5711406304207999
757,-0.905896153276479,-0.5633900338209505
758,-0.905896153276479,-0.5679050673989959
759,-0.4911031278245594,-0.6002558921337231
760,-0.5301004444197519,-0.6479660703453355
761,-0.5301004444197519,-0.6470418034386592
762,-0.5301004444197519,-0.6376721074228169
763,-0.5301004444197519,-0.6512410681906008
764,-0.5301004444197519,-0.6540393323058428
765,-0.5301004444197519,-0.6534808759060644
766,-0.5301004444197519,-0.6543256526316497
767,-0.5301004444197519,-0.6563739476492427
768,-0.5301004444197519,-0.6658369688241162
769,-0.5301004444197519,-0.7112928851452112
770,-0.8423814142857594,-0.6937874085143987
771,-0.695145368120023,-0.7053013984711877
772,-0.695145368120023,-0.7893109088226179
773,-0.695145368120023,-0.7766531445776901
774,-0.695145368120023,-0.7411296643014532
775,-0.695145368120023,-0.7970195933243862
776,-0.695145368120023,-0.7820354426337067
777,-0.695145368120023,-0.8139815238164108
778,-0.695145368120023,-0.8015736637841397
779,-0.695145368120023,-0.7923290727512856
780,-0.695145368120023,-0.7938935101077392
781,-0.695145368120023,-0.6821400095370453
782,-0.695145368120023,-0.5971878007123572
783,-0.695145368120023,-0.6005803586382691
784,-0.695145368120023,-0.6077142262409212
785,-0.695145368120023,-0.606206848715439
786,-0.695145368120023,-0.5467703865148723
787,-0.695145368120023,-0.563470844561842
788,-0.695145368120023,-0.5663061808127516
789,-0.695145368120023,-0.5938099441661975
790,-0.695145368120023,-0.5640175935310718
791,-0.695145368120023,-0.5805970323317384
792,-0.695145368120023,-0.5689293535284292
793,-0.695145368120023,-0.40506938355409683
794,-0.695145368120023,-0.419389864237153
795,-0.695145368120023,-0.43475366721386377
796,-0.695145368120023,-0.39835833892131445
797,-0.695145368120023,-0.3685050144991099
798,-0.695145368120023,-0.3520176678163214
799,-0.695145368120023,-0.26047850915162524
800,-0.695145368120023,-0.25068610372208006
801,-0.695145368120023,-0.21336440661135583
802,-0.695145368120023,-0.2893886176059352
803,-0.695145368120023,-0.24854389161631854
804,-0.695145368120023,-0.1575770206196026
805,-0.695145368120023,-0.11289483917063775
806,-0.695145368120023,-0.11701117662726487
807,-0.695145368120023,-0.11477200142527834
808,-0.695145368120023,-0.15866972503084736
809,-0.695145368120023,-0.16862343426421952
810,-0.695145368120023,-0.15190008695426183
811,-0.695145368120023,0.0029621226205728567
812,-0.7178155107731115,0.10796515543792994
813,-0.3958502853359306,-0.4696832855180904
814,-0.5558994717498549,-0.3745790563583507
815,-0.5558994717498549,-0.414700755313785
816,-0.5558994717498549,-0.4260276616687958
817,-0.5558994717498549,-0.43558219186897484
818,-0.5558994717498549,-0.4357754301097326
819,-0.7316012625948203,-0.4976198644372536
820,-0.7316012625948203,-0.5049516565788156
821,-0.7316012625948203,-0.5083413437108568
822,-0.7316012625948203,-0.520392203409286
823,-0.7316012625948203,-0.554908529429697
824,-0.7316012625948203,-0.5680984289326046
825,-0.7316012625948203,-0.5751391122889626
826,-0.7316012625948203,-0.6471635696479464
827,-0.7316012625948203,-0.6391420756106229
828,-0.7316012625948203,-0.6327821200386916
829,-0.7316012625948203,-0.6345337631344119
830,-0.7316012625948203,-0.6390081379479395
831,-0.7316012625948203,-0.6364816156988603
832,-0.7316012625948203,-0.6409885610509302
833,-0.7316012625948203,-0.6521560723822205
834,-0.47942459673883037,-0.6173987798955008
835,-0.9887760135128248,-0.40622616114989435
836,-0.9887760135128248,-0.4069589952053354
837,-0.9552313752311604,-0.3354592401248609
838,-0.9552313752311604,-0.23142105371361413
839,-0.9552313752311604,-0.20396159458860713
840,-0.9552313752311604,-0.1231210550764701
841,-0.9552313752311604,0.22535682784712538
842,-0.9552313752311604,0.12575096818944592
843,-0.6864496327793841,-0.017514125564793998
844,-0.6573813918776795,-0.24731147035654438
845,-0.6573813918776795,-0.20076728372077562
846,-0.6573813918776795,-0.2093680900257038
847,-0.940831119314665,-0.25500667354409484
848,-0.5923877204163776,-0.37055831062663397
849,-0.9731737029963099,-0.41608361206250494
850,-0.9731737029963099,-0.43004827191557876
851,-0.9731737029963099,-0.44632726591523847
852,-0.9731737029963099,-0.45734973071973145
853,-0.9731737029963099,-0.4585587302130245
854,-0.9731737029963099,-0.4666418163653171
855,-0.9731737029963099,-0.4637191211173099
856,-0.983658264460536,-0.6387201641493355
857,-0.983658264460536,-0.6430183924718287
858,-0.8938543081475828,-0.6529666216838701
859,-0.8938543081475828,-0.6226853294019323
860,-0.8938543081475828,-0.7157797311387663
861,-0.7283349363369431,-0.7129547334097465
862,-0.9084745885402575,-0.7457813119421332
863,-0.8684540839602759,-0.7870242044305417
864,-0.8684540839602759,-0.7644746967868187
865,-0.8684540839602759,-0.790092011483924
866,-0.8874882002365884,-0.7851138113715221
867,-0.8874882002365884,-0.7986236391813895
868,-0.8874882002365884,-0.7971871783153646
869,-0.8874882002365884,-0.7973788644407153
870,-0.906758639377032,-0.73594153423131
871,-0.906758639377032,-0.7257692391677905
872,-0.906758639377032,-0.7220001468826891
873,-0.906758639377032,-0.7202685257844358
874,-0.9431686116896303,-0.708925955281865
875,-0.9431686116896303,-0.7075564040688682
876,-0.9431686116896303,-0.7013170338455098
877,-0.9431686116896303,-0.7106770575044198
878,-0.9431686116896303,-0.669120344167187
879,-0.9431686116896303,-0.6426099072710872
880,-0.9431686116896303,-0.5959529390219173
881,-0.9431686116896303,-0.636110168535142
882,-0.9431686116896303,-0.6512197653119947
883,-0.9431686116896303,-0.5007815415669329
884,-0.9431686116896303,-0.4832735543491809
885,-0.9431686116896303,-0.31302614671703377
886,-0.9431686116896303,-0.38891644309664003
887,-0.9431686116896303,-0.37506442986560795
888,-0.9431686116896303,-0.2774968626931701
889,-0.9431686116896303,-0.25235724418421207
890,-0.9431686116896303,-0.2606895763463584
891,-0.9431686116896303,-0.23940055970973073
892,-0.9431686116896303,-0.39426770471044353
893,-0.9431686116896303,-0.40740961232883693
894,-0.9431686116896303,-0.3944429341746196
895,-0.9431686116896303,-0.3153625126054678
896,-0.9431686116896303,-0.3059691447625414
897,-0.9431686116896303,-0.29318023244468183
898,-0.9431686116896303,-0.26247861493702757
899,-0.9431686116896303,-0.28821987105282854
900,-0.9431686116896303,-0.3189145121181074
901,-0.9431686116896303,-0.4191693002711409
902,-0.9431686116896303,-0.4052560493797879
903,-0.9622662416657156,-0.31390693712303736
904,-0.8962059292608745,-0.3852399737730146
905,-0.666505707382134,-0.328908390131577
906,-0.43092249818192474,-0.6443863308593509
907,-0.7299927075349876,-0.6884672232527925
908,-0.7299927075349876,-0.6793371388639815
909,-0.7299927075349876,-0.660068875170149
910,-0.7299927075349876,-0.6040737298623493
911,-0.8507058541828229,-0.6381239042700864
912,-0.6713125442224942,-0.6629706788272585
913,-0.5634502109940349,-0.6837473590790273
914,-0.774491508164231,-0.6455123981800412
915,-0.774491508164231,-0.6758609480090519
916,-0.774491508164231,-0.6860723175174506
917,-0.774491508164231,-0.6966553382539945
918,-0.774491508164231,-0.7075399449442216
919,-0.774491508164231,-0.7136931763229044
920,-0.8892507549768143,-0.7018519849485867
921,-0.8892507549768143,-0.6994537678491936
922,-0.8892507549768143,-0.6938649770025058
923,-0.8892507549768143,-0.6980999797049492
924,-0.8892507549768143,-0.7086083052173013
925,-0.8892507549768143,-0.7290200002969734
926,-0.8892507549768143,-0.7640672536238347
927,-0.8892507549768143,-0.784161294566727
928,-0.8892507549768143,-0.7108488723715722
929,-0.8892507549768143,-0.6730758549836827
930,-0.8892507549768143,-0.6788202958456608
931,-0.8892507549768143,-0.6790691713305554
932,-0.8892507549768143,-0.7268957074689005
933,-0.8892507549768143,-0.712416738349021
934,-0.8892507549768143,-0.590042698024527
935,-0.8892507549768143,-0.5045169011115206
