,CAC/JPEIGLBL inst_corr,CAC/JPEIGLBL hist_corr,CAC/FTMIGMI inst_corr,CAC/FTMIGMI hist_corr,FTMIGMI/JPEIGLBL inst_corr,FTMIGMI/JPEIGLBL hist_corr
165,,,,,,
166,,,,,,
167,,,,,,
168,,,,,,
169,,,,,,
170,,,,,,
171,,,,,,
172,,,,,,
173,,,,,,
174,,,,,,
175,,,,,,
176,,,,,,
177,,,,,,
178,,,,,,
179,,,,,,
180,,,,,,
181,,,,,,
182,,,,,,
183,,,,,,
184,,,,,,
185,,,,,,
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,,
190,,,,,,
191,,,,,,
192,,,,,,
193,,,,,,
194,,,,,,
195,,,,,,
196,,,,,,
197,,,,,,
198,,,,,,
199,,,,,,
200,,,,,,
201,,,,,,
202,,,,,,
203,,,,,,
204,,,,,,
205,,,,,,
206,,,,,,
207,,,,,,
208,,,,,,
209,,,,,,
210,,,,,,
211,,,,,,
212,,,,,,
213,,,,,,
214,,,,,,
215,,,0.8666803652137137,,,
216,,,0.8666803652137137,,,
217,,,0.8666803652137137,,,
218,,,0.8666803652137137,,,
219,,,0.8666803652137137,,,
220,,,0.8666803652137137,,,
221,,,0.8467366153727822,,,
222,,,0.9258179097185324,,,
223,,,0.9258179097185324,,,
224,,,0.9258179097185324,,,
225,,,0.9258179097185324,,,
226,,,0.9258179097185324,,,
227,,,0.9258179097185324,,1.0670653764372156,
228,,,0.9258179097185324,,1.0670653764372156,
229,,,0.9321508759145288,,0.9422407832942216,
230,,,0.6897305043615812,,0.9422407832942216,
231,0.39898815260194687,,0.20017807202916563,,0.9422407832942216,
232,0.40956324616050727,,0.2567645434847321,,0.9422407832942216,
233,0.6012381619888088,,0.4176917582045348,,0.9402118502160653,
234,0.6012381619888088,,0.6950120040397773,,0.9402118502160653,
235,0.6012381619888088,,0.6950120040397773,,0.9402118502160653,
236,0.6012381619888088,,0.6950120040397773,0.03067854215927607,0.6424524740740796,
237,0.7987683941499136,,0.7040239618033743,0.04051899066556224,0.472096057825932,
238,0.4949135645785141,,0.35478464247236713,-0.058779159749899446,0.9067369016047853,
239,0.32174373323453875,,0.4352228969490928,-0.04358363173728775,0.9067369016047853,
240,0.23863559280523464,,0.6025240307404754,-0.02811913281972361,0.8360404993366741,
241,0.3359235898882384,,0.6025240307404754,-0.03358166731033422,0.625165826347465,
242,0.3776920948563387,,0.6025240307404754,0.014311878070306707,0.47407354342445013,
243,0.8133287282636004,,0.6025240307404754,0.14015480706985303,0.6588692013322835,
244,0.7950572572069743,,0.6025240307404754,0.1888114317445287,0.6588692013322835,
245,0.18388546410223666,,0.6025240307404754,0.22595097903079173,0.5331435052014333,
246,-0.0375511917104499,,0.6025240307404754,0.19977223273194653,0.8782169686753718,
247,-0.1685105493334336,,0.9192767085533069,0.20846980373087431,0.9841036544608742,
248,-0.21661532407543765,,0.5529680084854782,0.16767200196185425,0.8254458622853,0.480329994395624
249,-0.3799457246296731,,0.5529680084854782,0.20568694027924223,0.6967927353087032,0.4634273748996082
250,-0.3556624926297742,,0.5529680084854782,0.18501043524157265,0.7642166672401509,0.480127198851559
251,-0.024378531255468103,,0.9115635279496673,0.2057730534751219,0.4272119469020048,0.5111617234538585
252,0.1527045522341483,,0.7949960832549182,0.20907606637099227,0.6126681067711585,0.473299918222966
253,-0.06998802278989684,-0.22225887095252045,0.7888584211241347,0.3414688275984353,0.6126681067711585,0.4858546029329792
254,-0.2528992453273644,-0.2322345413044754,0.976300533791202,0.40250874123084496,0.6126681067711585,0.470638847069923
255,-0.4324581443222771,-0.27849039951705645,0.976300533791202,0.3641666101352351,0.6126681067711585,0.4631578329404435
256,-0.20336308575377163,-0.26888315654484224,0.9049637652652761,0.38790723652936965,0.9488944475172589,0.4513263824802132
257,0.005807616406032761,-0.29194575272216866,0.9870161857094912,0.4364830964220939,0.9085449166121486,0.45330397909816433
258,0.5434627955833365,-0.2137106758992509,0.9870161857094912,0.42563010231596704,0.9085449166121486,0.4614581557025256
259,0.44480408037750174,-0.20958060172324292,0.9870161857094912,0.43981339160433425,0.9085449166121486,0.3539591774667811
260,0.4364496194978652,-0.1956070642042456,0.9870161857094912,0.5659689674434333,0.9085449166121486,0.355068779005799
261,0.26606065507562116,-0.18467194934924885,0.9870161857094912,0.5788848269763915,0.9085449166121486,0.33946316382797537
262,0.17531687193060533,-0.164061685586829,0.6924293273244819,0.6246468910023649,0.9085449166121486,0.41673699573250267
263,0.12652897694461776,-0.2066400260730056,0.6924293273244819,0.6278050508322169,0.9737290984882275,0.41735923768328154
264,0.21632581698831468,-0.2366863753672555,0.899606055500405,0.5804134687078428,0.43995232801063194,0.3112464600239969
265,0.22652969757370284,-0.2155751115098328,0.5721452484301464,0.491872838178554,0.0980233845119699,0.1551905731541951
266,0.3835955870225061,-0.20364207873509374,0.551562695760835,0.4530517916102834,0.29363063741900264,0.2547313129043806
267,0.38688831346254343,-0.19987969583886392,0.4554287528893071,0.3679899762863234,0.8372227937320091,0.26909095060900323
268,0.3258551635329417,-0.17880568369715308,0.27570780056234473,0.3400878869459677,0.7210706076673401,0.16479094225189478
269,0.10691742659249563,-0.13772564223517994,0.7292042765711628,0.31327185857632955,0.773842541109046,0.1656595620025805
270,-0.0953948900091531,-0.2044587419759232,0.40951917126748966,0.398564068019332,0.7310873562605678,0.06799802126245007
271,-0.08266700867741761,-0.07931071249151772,0.30882210427844264,0.2770224738449885,0.5907765627206244,0.05147292303198522
272,0.23259411164630386,-0.08781559937076752,0.48754356285825184,0.27545591475099734,0.5907765627206244,0.11948512619192675
273,0.5846805008909822,-0.14364000913160482,0.6643637977352529,0.2045975501259939,0.9279643738718379,0.1847725418347441
274,0.3730090717674278,-0.12764020430111564,0.6643637977352529,0.19944822220101596,0.6638238389483845,0.17041265502811262
275,0.0985263468368848,-0.09118368917249593,0.9501612142944807,0.14508013933743755,0.7570293930570322,0.1677445644657426
276,-0.4561658352413906,-0.10104949207029164,0.5685692154764742,0.21349774821881062,0.6588798074027515,0.1515665041144019
277,-0.5920552666028751,0.006109942878151969,0.8260121660568491,0.1864507892486852,0.6588798074027515,0.1497356032443264
278,-0.30000794851226126,-0.01840507270840893,0.8260121660568491,0.17834878428204143,0.6588798074027515,0.13651657652569282
279,-0.41992183437956015,-0.18725667388349548,0.8260121660568491,0.11763583625172835,0.6312747956352609,0.15319867665196626
280,-0.33735715526349896,-0.26584048920857695,0.8260121660568491,0.1453264938418201,0.5669604092490598,0.3534769224322962
281,0.14079170218570075,-0.2687351403846926,0.9489948845218205,0.1371845798341786,0.9549185123046275,0.35715694699987904
282,0.23446181293839283,-0.2568676494568672,0.9489948845218205,0.13504743270937988,0.9156227013852677,0.30058710265345423
283,-0.010831742727541269,-0.25147675106318756,0.9489948845218205,0.14381994327094597,0.810139384541921,0.2706462517273084
284,-0.10119654068395931,-0.22967367459173907,0.9489948845218205,0.043550797977413395,0.497624488233606,0.2744812023324373
285,-0.18126027798406738,-0.1748596482382785,0.9489948845218205,0.0333792636987717,0.3908246819614807,0.4042110110148973
286,0.25461603957221013,-0.19844418678554251,0.2112640975475198,0.028696966633431468,0.6549326941066832,0.4005454372390592
287,0.4410359304253493,-0.2041462212011659,-0.07524906932020621,-0.09726412491492667,0.6549326941066832,0.49767547120861483
288,0.6645305850639884,-0.16900442005818095,-0.10340997496038393,-0.16602029147063455,0.6549326941066832,0.49297449911781116
289,0.6654337773516636,-0.13897649092406547,0.03763884809556413,-0.11880470475655713,0.6549326941066832,0.4861212152022391
290,0.9191014876807935,-0.12492460829056178,0.33466987403624154,-0.11683695164081132,0.6549326941066832,0.473228970345765
291,0.9921261842488426,-0.10989656998132359,0.4716557137058038,-0.16454554817689315,0.6549326941066832,0.45643471024348564
292,0.8663880544416096,-0.08151660305876271,0.7949650306887839,-0.17205782692315305,0.6549326941066832,0.44953422937894555
293,0.6358860237261384,-0.07995333637562513,0.7949650306887839,-0.049750297487015524,0.6549326941066832,0.49820971884118614
294,0.34537967340088654,-0.09239897537056228,0.7949650306887839,-0.03462338575622336,0.6549326941066832,0.5028450457845084
295,0.36324336525783213,-0.08632038196331382,0.7949650306887839,-0.0491441926886062,0.6549326941066832,0.5021823086341827
296,0.5111894255907707,-0.10655370610591168,0.6773776662928674,-0.08715728690327955,0.7452868584462125,0.5626540138584566
297,0.3862836491538258,-0.09780067820993447,0.7558964825007202,0.060938573292766106,0.7452868584462125,0.5576823934182247
298,0.5168948103230168,-0.0690580905991707,0.9434041668715482,-0.14601279881914073,0.7452868584462125,0.5869511139934563
299,0.1894169915806019,-0.06854841376770561,0.9434041668715482,-0.0021442093316943055,0.7452868584462125,0.590481695878147
300,-0.022415990363180392,-0.06760752103142595,0.7270423432445126,0.01681104536598068,0.8838097387523789,0.5581357729117242
301,-0.18263408107156434,0.03592748047841648,0.35004098210690304,0.3555289038740971,0.8838097387523789,0.5959284509371351
302,-0.4247565721243798,0.0051678470499915965,0.4047334156562134,0.30757919105546533,0.8838097387523789,0.4903738951794024
303,0.03121875182564947,-0.01317442388815592,0.4047334156562134,0.30835547135615554,0.8838097387523789,0.4754914235019605
304,0.40294438390131176,-0.025542114336080668,0.4047334156562134,0.32216230096276965,0.8838097387523789,0.5890294369068175
305,0.8021588898276192,-0.003352029700014772,0.4047334156562134,0.32095197530505504,0.9396893780593223,0.7103569597668067
306,0.923201666055088,-0.017019994943846033,0.5650849505943735,0.32718597176075936,0.9396893780593223,0.7657385583159322
307,0.7057518974888907,0.16413900020538716,0.3563148840382923,0.3298094779533533,0.9237697397966286,0.6123908408917396
308,0.5658827440506167,0.15496784230818633,-0.03604772199092969,0.26895622259724217,0.8555068931409324,0.6126271728378416
309,-0.017849385893013634,0.15080405975592223,-0.2058625450046096,0.313525576026608,0.8555068931409324,0.489167001186904
310,-0.185530061779346,-0.08416357601290729,-0.15726052111976474,0.3031842842675911,0.8017972245333259,0.49637098130530677
311,-0.5435546738402225,-0.1953490932744079,0.16039138387623672,0.29992437831249047,0.6480190558626988,0.484608130963971
312,-0.7962808820267476,-0.37895685003707696,0.7599879911925148,0.30550134771438897,0.73125296072414,0.3431621848286738
313,-0.12807135902305994,-0.47407290520758716,0.7599879911925148,0.3182011076580324,0.73125296072414,0.35042971973417786
314,0.10316135740652121,-0.4688656853917062,0.7599879911925148,0.3227034137324275,0.9594454255411093,0.34942372333675786
315,0.47045704076065153,-0.22764293763125074,0.7599879911925148,0.2882802942433456,0.9594454255411093,0.3335461738747054
316,0.47045704076065153,-0.22300123161107838,0.7599879911925148,0.26834393479780094,0.9594454255411093,0.323537754367987
317,0.5952495509240859,-0.23239722363847745,0.5108880725759979,0.3605430262903622,0.9594454255411093,0.3404374679060445
318,0.3756369011167276,-0.22501531938578848,0.47185435799353515,0.376565595870863,0.9645687905024104,0.027743493087834692
319,0.15772355214789616,-0.22934526105081732,0.8766764938150291,0.3417928846380155,0.9203257625127359,0.20904951547509562
320,-0.05281875174710036,-0.2150692141285921,0.8766764938150291,0.33149633556268,0.9203257625127359,0.22811526663321444
321,-0.158389774604824,-0.2178131692443983,0.8766764938150291,0.31484842576182964,0.9203257625127359,0.18517212507025374
322,-0.3404181247031397,-0.302806468323003,0.8766764938150291,0.32521014182721264,0.7462836622801464,0.169008228588334
323,-0.8480455015996345,-0.3359439186340268,0.8766764938150291,0.1964927491342184,0.7814891189312501,0.20199891688318652
324,-0.5794789936913043,-0.3044411919227201,0.8766764938150291,0.19288503491212564,0.9312527474017357,0.16361478822711112
325,-0.22666835790553985,-0.29366396252703897,0.8766764938150291,0.19920795738556002,0.9312527474017357,0.1863963621073944
326,0.12330458981253443,-0.28615329137881396,0.8766764938150291,0.20870450707047955,0.8479349528016874,0.20944431293816457
327,0.3528319440854128,-0.2986858256382183,0.8766764938150291,0.23339800305152297,0.8479349528016874,0.18293421991704423
328,0.8057285362948075,-0.283858189785515,0.8766764938150291,0.18910526795720403,0.8479349528016874,0.17057606376247528
329,0.7606804997772106,-0.33367306586838164,0.8766764938150291,0.20822041930102672,0.5766558964184827,0.5395627475717063
330,0.33022378091112364,-0.3235977005887363,0.8766764938150291,0.34101756043294956,0.7729057696780314,0.5696873767360772
331,0.2363567733388627,-0.29622296690910954,0.8766764938150291,0.4497845289695011,0.7729057696780314,0.5724706192470754
332,0.5582402682434368,-0.1295541477110316,0.8766764938150291,0.5369365384949064,0.7729057696780314,0.5653876826535016
333,0.5582402682434368,-0.029770859565515454,0.8766764938150291,0.5273656618302869,0.7915704160186088,0.5421351080077982
334,0.5582402682434368,-0.02851301456971783,0.8766764938150291,0.47714706857642664,0.7281376589856328,0.5971024445693621
335,0.7872247481766516,-0.0020489805115383674,0.6603507120569445,0.5559678447884999,0.7281376589856328,0.5964776678703583
336,0.7872247481766516,-0.003332988130206931,0.6603507120569445,0.5516261343501278,0.7281376589856328,0.5925930862284505
337,0.9976673999571747,-0.1171873249905001,0.6603507120569445,0.5256421197112592,0.7281376589856328,0.6309434339246456
338,0.6110842782962493,-0.11472315571583215,0.8264815287015856,0.5451765309487809,0.7281376589856328,0.6351139366076859
339,0.7309175045803646,-0.11632000407179131,0.781388149512783,0.49156613944350674,0.8983965401880332,0.6438721733106701
340,0.6231861034483387,-0.08832809103743262,0.732310901253355,0.5523554224007788,0.8983965401880332,0.6615783018567377
341,0.4194364192271684,-0.07314742460701977,0.732310901253355,0.5307493778178758,0.8983965401880332,0.6250991130159194
342,0.34555284380329776,-0.05468139399244478,0.732310901253355,0.5643237026861072,0.8983965401880332,0.6123009640359414
343,0.20166736530884982,-0.08612261747703602,0.732310901253355,0.5752494353336701,0.8983965401880332,0.6093260545548606
344,0.06560426229944201,0.14139981872492002,0.732310901253355,0.5598707224448073,0.8983965401880332,0.6806627065479572
345,0.0738873503255424,0.279559755372387,0.790826765061966,0.639094949649308,0.8983965401880332,0.6825697624434023
346,0.3081424230726761,0.2535544956747278,0.9957684399047579,0.6444860634799985,0.8983965401880332,0.679134758415514
347,0.5065944411729842,0.25166831642448373,0.6620497772004149,0.6372318490507647,0.9201669028917623,0.6827164471372046
348,0.40416090593521353,0.2825896211480938,0.4695159882123095,0.46736450132598084,0.7465071553716509,0.7026100469242713
349,0.2630614404390987,0.26264782054111957,0.7689262608949458,0.47603070606481546,0.7465071553716509,0.7107939529960078
350,0.14270105229335822,0.1968489975952879,0.7017550985599567,0.48142904940937625,0.6832018310844579,0.6512362356430709
351,0.21867614091856263,0.20699902419059837,0.8291562560797526,0.45825357416796964,0.6409345350837524,0.4556634414061872
352,0.2946254408784722,0.15923154820750535,0.8291562560797526,0.4890411130167652,0.6409345350837524,0.4139640850147521
353,0.33906064901814975,0.14258816854642273,0.8291562560797526,0.49422249604197566,0.6409345350837524,0.43826399208838307
354,0.6791797816899375,0.08426132787565759,0.8291562560797526,0.4910000073740099,0.6409345350837524,0.44901255015417524
355,0.6791797816899375,0.01965813038810941,0.8291562560797526,0.5097211827207723,0.938518585843043,0.5100627656907925
356,0.7923703662651553,0.02216885594486023,0.5756033439409257,0.4584771300915142,0.938518585843043,0.5292495271194732
357,0.48152783480330813,-0.026976310108417677,0.3948330752926392,0.5030543653157736,0.938518585843043,0.5411972395971834
358,0.7884458280886325,0.04373193174032149,0.5597656863697694,0.5019087338429342,0.8778050689569709,0.5246588966821598
359,0.9148751291533517,0.09443577637474092,0.5597656863697694,0.5073330669899757,0.9928001990375704,0.5411340918600681
360,0.46282985997393455,0.0935324687513046,0.5597656863697694,0.49343122794065375,0.9928001990375704,0.49782868353866616
361,0.5139399007178818,0.2793860432098124,0.7490496339641699,0.5288680767970521,0.9928001990375704,0.46690350126767427
362,0.5232681876595944,0.2908319683758859,0.7562134530140923,0.510021161335988,0.9928001990375704,0.4595931537685859
363,0.28645434429727024,0.17324673998723755,0.932732987212832,0.5145690837379977,0.9928001990375704,0.5087516788540963
364,0.4418345653879225,0.12975630344816702,0.7877839771835629,0.4991329066678713,0.9928001990375704,0.5720575159747151
365,0.7042480897114832,0.22409511024778386,0.544304231267976,0.5008449225836072,0.7702677681894415,0.572468715221629
366,0.7042480897114832,0.299006993553669,0.8684395529785305,0.4423972704233513,0.48252741519270975,0.658465838149329
367,0.8858082887073846,0.32960256858662,0.8684395529785305,0.4004449035888548,0.5109918818169048,0.674014921553535
368,0.4931893899301955,0.31855671770511995,0.8826984600167346,0.37624612274324815,0.9837546525379532,0.6839281757262765
369,0.7030052596200831,0.4764468421316092,0.6819480614954944,0.44133547652801663,0.985791681148143,0.6980420434152251
370,0.7030052596200831,0.495149105735013,0.8135080689467111,0.4774246057098498,0.985791681148143,0.6848933126450394
371,0.774023979114802,0.48832965711462306,0.8135080689467111,0.44776315352224494,0.9935226901631085,0.696603328874209
372,0.09827915374925544,0.5318979870230869,0.9147855605683072,0.46692827990870167,0.9935226901631085,0.7361372658603537
373,0.06722416707322781,0.42243327098742245,0.5424169397326714,0.37808119658546563,0.9935226901631085,0.6892360803655733
374,0.11077798096584082,0.465042682182974,0.5099072221858657,0.35305119747833863,0.4998852628362532,0.6143848196365223
375,-0.058122744651370274,0.49600700629607436,0.9577370785019698,0.3229386773576512,0.8159109520048604,0.6224373265867165
376,-0.16249922913670456,0.4015900776174823,0.9577370785019698,0.3208893166234316,0.8159109520048604,0.5969160201349004
377,-0.2870615854707681,0.3376414059559691,0.7602230124080102,0.43533266150656463,0.8159109520048604,0.5738993769746793
378,-0.051211920786032004,0.30163297233426306,0.8224227982317027,0.49425786572218783,0.8159109520048604,0.5592024127519112
379,0.494070375744414,0.33868086030778205,0.7883236659786007,0.46438665859273154,0.8159109520048604,0.5490171993070265
380,0.7358489986971474,0.31735020317778007,0.8317398835846121,0.5239561509775721,0.8159109520048604,0.5650560573864816
381,0.6046221167536188,0.3148855355331271,0.8317398835846121,0.5192671367193555,0.4225741226953758,0.5268834921168457
382,0.5981961983610486,0.3022141535559039,0.8317398835846121,0.5484102893310786,0.18264419542124805,0.39985647857938145
383,0.30114206815142525,0.20926504083014094,0.8577732971062696,0.5624072322292993,0.40005729075833624,0.3371958708707938
384,0.0712331324229289,0.16603471242322257,0.8577732971062696,0.547428221520395,0.40005729075833624,0.24724455682123828
385,0.016418226510905482,0.2973876305826487,0.9076944900818009,0.5234231361215066,0.40005729075833624,0.18260997006432136
386,0.00858154265301709,0.17983113129918551,0.7206223902413197,0.609307168022837,0.40005729075833624,0.23875950788311795
387,0.6653607323850083,0.11963128077381087,0.7206223902413197,0.5960080904347946,0.9143734592611853,0.37545475569869685
388,0.5168503467600466,0.10448405183151108,0.7206223902413197,0.6187040224379675,0.9826462978763433,0.25099596169565347
389,0.622465273380486,0.16369230560204254,0.7206223902413197,0.6275207054398249,0.96814929128631,0.3412744214297282
390,0.898256913770201,0.19286620443542404,0.7206223902413197,0.6368713701907878,0.96814929128631,0.3225059192592629
391,0.6772816877212134,0.003325159276540185,0.94774195267332,0.6253685583174011,0.96814929128631,0.3398182877414444
392,0.9353438012432226,0.08940518908087085,0.94774195267332,0.6652436417584568,0.96814929128631,0.3380504184769618
393,0.9353438012432226,0.07470266162271995,0.94774195267332,0.6541303718030732,0.96814929128631,0.29513797649771284
394,0.7772229367216822,0.10735021441383338,0.94774195267332,0.6586817437774616,0.96814929128631,0.3025350968706224
395,0.5991317580478684,0.17156651458222266,0.94774195267332,0.7088622156747708,0.96814929128631,0.27474239491744756
396,0.2935409768191802,0.12147049035725216,0.94774195267332,0.7468022557824231,0.96814929128631,0.39751542412268226
397,0.14490226951707763,0.11134491499127518,0.94774195267332,0.7388828929167447,0.8136738216654887,0.4216325044504789
398,0.15306911978135687,0.1850667413327853,0.94774195267332,0.7394246663829154,0.8136738216654887,0.4412788826033107
399,0.24567981655485824,0.25156388694938947,0.94774195267332,0.70123382547227,0.8136738216654887,0.4464603332160622
400,0.3926050424084858,0.3001998895753245,0.6880527817479266,0.7168555730820091,0.8136738216654887,0.40699804247070825
401,0.44886606166872206,0.2559123588753696,0.6880527817479266,0.65245845766632,0.7961668839660759,0.4316695232154925
402,0.4649246690803151,0.2765880301977966,0.6880527817479266,0.5664546318315588,0.9742370160914331,0.41865323239163643
403,0.41078844193091235,0.2110501897527628,0.6880527817479266,0.5904802849772859,0.9005113386660277,0.4212733477914373
404,0.47901499412439047,0.2516686847023995,0.6880527817479266,0.5555254579074163,0.6427291501455124,0.48073893813035945
405,0.38054976311513167,0.3027571976693978,0.6880527817479266,0.575380254529923,0.8004039149663943,0.5350611881458256
406,0.17834770481618997,0.3155913840748534,0.6880527817479266,0.5092736232449249,0.6697382158153142,0.5737837858011748
407,-0.009812914211421874,0.22069595907318687,0.6880527817479266,0.5564215962152026,0.7809650199718883,0.5874122324602442
408,-0.12002925964316813,0.3974248041781878,0.6880527817479266,0.4298560403272824,0.6786812804262718,0.40487656195776617
409,-0.20599404490318193,0.4088399445175554,0.904631072168225,0.41007041900645286,0.720841786820324,0.2051513952950865
410,-0.2634371025553894,0.423679912899323,0.904631072168225,0.47222401974114303,0.720841786820324,0.13825074823950229
411,-0.2641563009554851,0.1374185059301933,0.904631072168225,0.48682624606713604,0.720841786820324,0.06534031237455735
412,-0.32151387922294733,-0.028868506531096693,0.904631072168225,0.5055118036627801,0.720841786820324,0.03772000017738344
413,0.39121992071635214,-0.10665635468343919,0.904631072168225,0.5088738461721721,0.9250314633039636,-0.08929162595870356
414,0.39121992071635214,-0.2140732420954336,0.7911054341343088,0.5351972054662567,0.8293315031576792,0.026071700431915465
415,0.8028223742487255,-0.1969371360630107,0.8359802924527826,0.5427104100759954,0.9230030826007578,0.03998146086475152
416,0.47137172040124825,-0.2589581086720005,0.9097648097814043,0.5014488467795679,0.9284567300394337,0.07590910681802451
417,0.4212608635405196,-0.2655849058247074,0.9097648097814043,0.40994386219642615,0.43608903308959407,0.046329421445660116
418,0.4197659174673562,-0.24013705476950473,0.9097648097814043,0.4507111291415831,0.5959270896836687,0.09808594232106493
419,0.5426514152361186,-0.24723083922425584,0.9097648097814043,0.4286131004970402,0.4056303775241658,0.025732765178513868
420,0.9556821773996396,-0.2213106252177575,0.9097648097814043,0.43757878450673,0.6589750014973591,0.02427948432577949
421,0.9556821773996396,-0.2036726123136646,0.9097648097814043,0.35284180244690555,0.7413879158657641,0.00741322884384303
422,0.39656600056499364,-0.18595264246280274,0.9097648097814043,0.2514491906201555,0.905526194215552,0.11317384998155187
423,0.36949383981238804,-0.15932167101151892,0.9097648097814043,0.22314581365063785,0.905526194215552,0.05419378573391333
424,0.4803597797945376,-0.2218460938363933,0.9097648097814043,0.19592512046754293,0.905526194215552,0.09317244844655201
425,0.6830496181545542,-0.12593067760342702,0.9097648097814043,0.20497975568811644,0.905526194215552,0.10196020323715206
426,0.6830496181545542,-0.16408705803730406,0.9097648097814043,0.2459260274724707,0.905526194215552,0.184445384148212
427,0.6830496181545542,-0.22915382295583714,0.9097648097814043,0.21004721564006856,0.8852261041078422,0.1851867204390588
428,0.6830496181545542,-0.26573635850064525,0.9097648097814043,0.29882146359855444,0.9461320797563874,0.1310555416503095
429,0.6830496181545542,-0.12108026864031281,0.9097648097814043,0.29808441652633505,0.9461320797563874,0.14808788008044635
430,0.6830496181545542,0.009301126594501677,0.9097648097814043,0.33538876744767226,0.9461320797563874,0.21365263528119338
431,0.6830496181545542,-0.008033238213564017,0.9097648097814043,0.3678830600226335,0.9461320797563874,0.24736945301459404
432,0.6830496181545542,0.005511996787600263,0.29450991458155584,0.24581040122953465,0.9461320797563874,0.2526678253626094
433,0.6830496181545542,0.10471750077489637,0.04702235680023877,-0.044421972103964924,0.9461320797563874,0.21948959180840588
434,0.6830496181545542,0.19363423130581728,0.1489395858733141,-0.03172624939902812,0.9461320797563874,0.21668607319698238
435,0.6830496181545542,0.18995226934718556,0.8145171604907064,-0.037708613169789906,0.44337559728245873,0.20543065833220908
436,0.6830496181545542,0.1750965826533727,0.8145171604907064,-0.127237196654489,0.3869752946989923,0.13205284523472688
437,0.7393520813429351,0.2287789623758424,0.8145171604907064,-0.11024553430355155,0.8596353312955346,0.1780698632828102
438,0.4390190272903902,0.19141135791924413,0.8145171604907064,-0.16272157642370197,0.8596353312955346,0.17314863168964262
439,0.3394248010978509,0.20594084710683683,0.8145171604907064,-0.14801772193548812,0.8596353312955346,0.22294243219400778
440,0.5734449750879481,0.18198428898714106,0.8145171604907064,-0.16919557622363166,0.8596353312955346,0.3064236824991408
441,0.07561800264689135,0.22337974646895994,0.8145171604907064,-0.20351878480626107,0.9328237480567718,0.31582133568948195
442,-0.029126023291216895,0.26751573922938854,0.8145171604907064,-0.19468338783086095,0.9579022402084943,0.32701234912838584
443,-0.07396965245733336,-0.11789973700946392,0.8145171604907064,-0.10472182027227016,0.8346253905672629,0.35578320820424886
444,0.01211193200652495,0.024931349058073742,0.9070367060401342,-0.033320637632410006,0.8346253905672629,0.31400887300328284
